respondent_id,h1n1_probability,seasonal_flu_probability
1,0.9680900532147977,0.9300749468814921
2,0.7119107466025134,0.9006155953671462
3,0.9694254190245412,0.9219429671275524
4,0.9230280455178372,0.08403125362768793
5,0.9330325021141952,0.9168135057168636
6,0.7855173600649885,0.12327257609085829
7,0.9291496585845744,0.6824320309583259
8,0.4264853046090826,0.5937229898686167
9,0.9142542510981166,0.6783656509199576
10,0.910018202017468,0.6674281930630861
11,0.9534084110824391,0.6146140467168097
12,0.91213643000707,0.6438885006681145
13,0.9285357023092617,0.05318645337876604
14,0.9500112983405703,0.814593530554616
15,0.6368421512973529,0.40715687239978127
16,0.9171037484248998,0.8860135147062504
17,0.771779558834395,0.08614088770248396
18,0.94675342709811,0.5768579015153642
19,0.40272307940090557,0.09324127121745474
20,0.8991348565462175,0.41597235842681357
21,0.7663501590980197,0.42538638256665817
22,0.6646431620425459,0.5970852604297666
23,0.6289343942574634,0.5815250877310636
24,0.845493934063774,0.8795703416060981
25,0.910864157204627,0.899454775740651
26,0.9375772268268711,0.7527109774693563
27,0.8131802700438483,0.1420222737265744
28,0.8904040104532983,0.7930158807270946
29,0.9847949442894602,0.9124716982571508
30,0.879105100826915,0.5314814448269868
31,0.9550968543411349,0.5290834890414184
32,0.9610210994504753,0.9378192680872945
33,0.9081095988477572,0.7835145918745992
34,0.2981487391434723,0.3336704255033136
35,0.8719572362824769,0.8621670074259227
36,0.5281377308255466,0.41014639068350667
37,0.8512297346265136,0.3165158581705445
38,0.9385791603898669,0.8229198264369642
39,0.756705289004907,0.33910057835286656
40,0.6073983863382024,0.16640805757605137
41,0.7257499570647644,0.5922852331441624
42,0.5420815976087491,0.18544572873151044
43,0.9580164415127588,0.9419420149759846
44,0.7903253080257728,0.8787446997272149
45,0.9634890410415035,0.8744062054474953
46,0.9761718509633512,0.8055160726911275
47,0.772718720174445,0.6755441391342385
48,0.8187719348643259,0.8549185461983984
49,0.6330158523402236,0.1788840626652577
50,0.7429142762296903,0.5632589355480999
51,0.738122319462384,0.5144395493568676
52,0.9281602777930573,0.2829943907915863
53,0.8137770153517961,0.7253925184902399
54,0.8524410378356462,0.521629552842733
55,0.935830798879956,0.8114647978217344
56,0.8843376551239535,0.6716117443294727
57,0.9053770856919762,0.12172859556186433
58,0.8693000938564623,0.3092049492292175
59,0.881503628288497,0.44572170054870974
60,0.9512040670110506,0.8103332840373562
61,0.32102665619393933,0.07394447027146012
